Tarikh,Nama Allah,Sirah Nabi,Quran,Psikologi,Neurosains,Biologi,Fizik,Formula,Situasi Refleksi,Amalan,Doa,Puisi
Aug 11,Ya Rahman,Nabi di Ta’if berdoa walau disakiti,Al‑A’raf 7:156,Self‑compassion kurangkan shame,Oxytocin tenang,Matahari menyinari semua daun,Cahaya lurus menyinari semua,FRM=6+7-2=11,Buat silap → marah diri vs maafkan diri,Maafkan diri,“Ya Rahman…”,Kasih‑Mu matahari
Aug 12,Ya Rahim,Nabi menyapu kepala anak yatim,Al‑Ahzab 33:43,Rasa disayangi turunkan cortisol,Limbic stabil,Air hujan ke akar halus,Osmosis kapilari,FRH=5×8=40,Nikmat kecil → kebetulan vs rahmat,Catat nikmat kecil,“Ya Rahim…”,Penyayang‑Mu angin
Aug 13,Ya Malik,Hudaibiyah nampak rugi jadi kemenangan,Al‑Hadid 57:5,Surrender → clarity,Amygdala tenang,Singa raja hutan,Orbit planet stabil,FMK=7+6-4=9,Risau masa depan → kawal vs tawakkal,Tulis 1 perkara serah,“Ya Malik…”,Aku bukan raja
Aug 14,Ya Quddus,Nabi beristighfar walau maksum,Al‑Hashr 59:23,Purity mindset naikkan self‑worth,Guilt circuits reda,Air jernih → fotosintesis,Medium bersih → cahaya jelas,FQD=8-3=5,Buat salah → simpan vs istighfar,Istighfar 100 kali,“Ya Quddus…”,Kesucian bukan tiada silap
Aug 15,Ya Salam,Salam Nabi menenangkan sahabat,Al‑Hashr 59:23,Calmness → resilience,Ventral vagal aktif,Sungai tenang subur,Air tenang stabil,FSL=7+6=13,Marah → berlarutan vs reda dengan zikir,Zikir + nafas,“Ya Salam…”,Sungai ketenangan
Aug 16,Ya Mu’min,Nabi di gua Tsur: “Allah bersama kita”,Al‑Hashr 59:23,Rasa selamat → berani,Oxytocin naikkan trust,Sarang lebah aman,Sistem tertutup stabil,FMN=9-4=5,Takut gagal → berhenti vs percaya Allah,Tulis ketakutan → doa,“Ya Mu’min…”,Keamanan dalam ribut
Aug 17,Ya Aziz,"Bilal: “Ahad, Ahad” walau diseksa",Yunus 10:65,Self‑worth kurangkan anxiety,Dopamine reward,Pohon tegak walau angin,Kristal kuat,FAZ=8-3=5,Buat kerja → down bila tiada pujian vs yakin,Kerja tanpa pujian,“Ya Aziz…”,Kemuliaan keteguhan hati
Aug 18,Ya Jabbar,Nabi memulih hati sahabat,Al‑Hashr 59:23,Healing trauma,Parasympathetic aktif,Tisu tumbuhan repair,Material bonding baru,FJB=6+7=13,Hati patah → lari vs kembali pada Allah,Tulis luka lama → istighfar,“Ya Jabbar…”,Patah pintu pembaikan
Aug 19,Ya Mutakabbir,Nabi tawaduk walau pemimpin,Al‑Hashr 59:23,Humility pulih hubungan,Empathy circuits aktif,Gunung besar kecilkan manusia,Skala kosmos,FMT=7-5=2,Salah → ego vs rendah hati,Akui kesilapan kecil,“Ya Mutakabbir…”,Jadi kecil dengan indah
Aug 20,Ya Khaliq,Hijrah cipta masyarakat baru,Az‑Zumar 39:62,Creativity → idea baru,Prefrontal cortex aktif,Benih jadi pokok,Quantum fluctuation,FKQ=5+6=11,Stuck → ulang tabiat vs cipta baru,Cuba tabiat baru,“Ya Khaliq…”,Takdir tanah liat
